mountain,topic
"""Owl's Head Mountain"" (Peak above Owl's Head)",2
Abajo Peak,2
Abercrombie Mountain,2
Aconcagua,1
"Adams, Mount",0
Agassiz Peak,1
Agung,1
Aiguille Dibona,1
Aiguille Verte,1
Aiguille d'Argentière,1
Aiguille de Rochefort,1
Aiguille du Midi,1
Aiguille du Tour,1
Aiguilles du Dru (or Les Drus),1
Alam Kooh,0
Aletschhorn,1
Algonquin Peak,2
Allalinhorn,1
Allen Mountain,2
Almagre Mountain,2
Alpamayo,1
Alphubel,1
Alta Peak,0
Ama Dablam,1
American Fork Twin Peaks,1
Aneto,1
Angels Landing,0
Annapolis Rocks,2
Anthony's Nose,2
Aoraki - Cook,1
Apache Peak,1
Aragats (Арагац),0
Ararat,1
Arc Dome,2
Arrow Peak,1
Artesonraju,1
Assiniboine,0
Avalanche Peak,0
Baboquivari Peak,0
Backbone Mountain,2
Baden-Powell,2
Bald Mountain,1
Baldy Mountain (NM),2
Banner Peak,1
Baring Mountain,0
Barre des Ecrins,1
Basin Mountain,2
Bear Creek Spire,0
Bear Mountain,2
Bear Peak,2
Bearfence Mountain,1
Ben Lomond,2
Ben Nevis,1
Bergen Peak,2
Big Slide Mountain,2
Bigelow Mountain,2
Bionnassay (Aiguille de),1
Bishorn,1
Bison Peak,0
Black Balsam Knob,2
Black Butte (CA),2
Black Butte (Oregon),2
Black Elk Peak / Harney Peak,2
Black Mesa,2
Black Mountain,2
Black Mountain (KY),2
Black Peak,0
Blanca Peak,0
Blodgett Peak,0
Blood Mountain,2
Blue Mountain,2
Bobotov Kuk,1
Bomber Mountain,2
Bonanza Peak,0
Borah Peak,1
Boundary Peak (Nevada),2
Box Elder Peak,0
"Brandon, Mount",2
Brasstown Bald,2
Breakneck Ridge,2
Breithorn,1
Bridge Mountain,0
Britton Hill,2
Broad Peak,1
Broads Fork Twin Peaks,0
Broken Top,0
Brokeoff Mountain,2
Browns Peak/Four Peaks,0
Buck Mountain,0
Buckner Mountain,0
Buet (Mont),1
Buffalo Mountain,1
Bugaboo Spire,0
Bukit Timah,2
Byers Peak,2
Cabezon Peak,1
Camel's Hump,2
Camelback Mountain,2
Campanile Basso di Brenta,0
Campbell Hill,2
Cannon Mountain (NH),2
Cannon Mountain (WA),0
Capitol Peak,0
Carrauntoohil,1
Cascade Mountain,2
Cashmere Mountain,0
Castle Peak,1
Castleton Tower,0
Castore/Castor,1
Cathedral Ledge,0
Cathedral Peak,0
Cathedral Rocks/Spires,0
Cayambe,1
Cerro Chirripó,2
Cerro Plata,1
Chachani,0
Chair Peak,0
Challenger Point,0
Chardonnet (Aiguille du),1
Charles Mound,2
Charleston Peak,2
Cheaha Mountain,2
Cheyenne Mountain,2
Chickies Rock,2
Chief Mountain,0
Chief Mountain (MT),1
Chiefs Head Peak,0
Chimborazo,1
Chimney Mt.,0
Chimney Rock,0
Chinaman’s Peak (Ha Ling Peak),0
Cho Oyu,1
Chopicalqui,1
Cirque Peak,0
Clark Mountain,0
Clark Peak,0
Clingmans Dome,2
Cloud Peak,0
Cloudripper,0
Clouds Rest,0
Clyde Minaret,0
Colchuck Peak,0
Cold Mountain,2
Columbia River Gorge,1
Cone Peak,2
